reaction(1478,WTPOzrd5274,UESGfwa0830,OAYUmzi3233,N_320406)
reaction(18649,BZDEpei9913,WBQIgru6242,DQRWuxf1295,N_320417)
reaction(33573,VSKBehk1808,SPIEtqq4232,JISGude7927,N_320428)
reaction(39691,JUWSinp1861,EPXEshz9870,ASJNzhf7990,N_320439)
reaction(5881,GEDKseu3414,BEHZrla2944,NEZIlbi2157,N_320450)
reaction(25399,BMHVehb0362,QRRYumy3108,ZKNQael5879,N_320461)
reaction(13875,WNFKwhn1385,TGYHhjg0489,LFYPfos5476,N_320472)
reaction(19694,DEXRygi8602,QQESabu2319,LAIHrxm2135,N_320483)
reaction(38829,SUUEfaj2817,FMUBmyu0384,SARIqoj4767,N_320494)
reaction(13640,ODGSutl5086,SUIJhrh3805,IOIKvvh2137,N_320505)
reaction(30482,HPBTlmn0732,UKEMxkd9441,ITBXfnl6187,N_320516)
reaction(24642,QVTKsoc1948,PLJPhap6177,UTDAocz4159,N_320527)
reaction(33134,JQKZoio7407,FTZGspq2823,YVBVqqo2813,N_320538)
reaction(39866,KTSElyc8825,MPGXzdq8643,YGSOzrn0415,N_320549)
reaction(36760,HQCNleu0576,KTRFavt6244,YCIKjog3784,N_320560)
reaction(1266,IKYDiom8622,QATHqao5865,IXNKxeb4114,N_320571)
reaction(21921,BKOZrxp2080,CPUKlyn3669,CWQBzne1302,N_320582)
reaction(38650,PWJTzyq8860,EMANieo2552,JQORfng3347,N_320593)
reaction(2059,JPQIgcb3827,JVNKtyh2593,QEHOiaa3724,N_320604)
reaction(15080,IWVYjwj7539,AQPDtjx2000,BSIHusn5636,N_320615)
reaction(6534,HIQFlzf8992,CIHEkkm9445,PJTGscc0183,N_320626)
reaction(11261,PEFWtmn7799,USZFuaq2690,CHTXwxn9786,N_320637)
reaction(33993,ORGMcur0036,JIDClko0879,KVMJxcv2880,N_320648)
reaction(20483,RULCxrk3643,NIJVbzr0025,GOQTuzg9576,N_320659)
reaction(30713,BXDYime6439,DUDLuys0614,BLYIqrz0519,N_320670)
reaction(5953,CYTWjtn1129,SHFEbex5887,MBQUjji5548,N_320681)
reaction(13336,BWYHewx3175,YSJHyvi0939,PQRGwnp9419,N_320692)
reaction(23972,CPHVzkd8012,PFWEvgm6520,RSWQowc4707,N_320703)
reaction(39675,KFBPzsb5980,VFXHddi5146,HXALsev5708,N_320714)
reaction(12843,OQEJwcm7940,CQAKcrw0274,SNAMhej0302,N_320725)
reaction(28102,EMWYynj3129,EOHPklu0042,TTJMlox7392,N_320736)
reaction(14333,BHKPmvw3025,GUPWlzr2522,KJADrsn5774,N_320747)
reaction(17707,FIWEydm2358,VJHUglp0981,KYIQghb3521,N_320758)
reaction(7038,RZLTpoo1804,LRRSesb9182,LTLKfnf0958,N_320769)
reaction(35926,HGVJjak6826,KEUYzhn2636,WYYNyhu3259,N_320780)
reaction(24750,LVTSdoq0214,KMEEryx2592,IRUGtep1480,N_320791)
reaction(31438,DEYTwpv1912,ECRExba3004,EDCHxug4962,N_320802)
reaction(25029,KSUBwxw9307,JZTFohn9132,VNGScyq7478,N_320813)
reaction(22541,PTJQrdi3131,VPVPald8470,CYMAtjr1834,N_320824)
reaction(2699,NICMqtd6753,DQUXwaa1597,IQVNkwu1292,N_320835)
reaction(31447,REKElla8531,CRTTapp0828,GMCEqcc3534,N_320846)
reaction(30722,VWBRskp3456,OGSJzpd2536,PSOMctz1543,N_320857)
reaction(10235,DAPIijd0790,MLNSgxz6192,ROJJkgf9646,N_320868)
reaction(4024,MUTZpxx2629,YYHFlgn6320,VHAFjmn6379,N_320879)
reaction(31853,VVCRurf7560,ZARGtfp9249,ZCPIiru4804,N_320890)
reaction(15346,ZAWPkfa8555,XLNFbcv9627,TMDSfbe2999,N_320901)
reaction(7071,EISSbgw5893,KEXFqld5239,MAEWpxn9006,N_320912)
reaction(14872,RKIDwox5598,EXOYkej3109,BFDIjnt6639,N_320923)
reaction(36406,FHZLxjx3824,QSPBipo8737,IMNWtub8170,N_320934)
reaction(10994,SHLKths8068,KXQKrng4888,CPLJsdw1475,N_320945)
reaction(39006,ZBYLvsl5419,DVTTsvc4018,BMBViun0894,N_320956)
reaction(19049,RJTXjhf3160,WQFWzqq1804,XTWOmzp5565,N_320967)
