providernumber,hospitalname,address1,address2,address3,city,state,zip,country,phone,hospitaltype,hospitalowner,emergencyservice,condition,measurecode,measurename,score,sample,stateavg
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,JEFFERSON,2059757100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,100%,7 patients,AL_AMI-1
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,JEFFERSON,2059757100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,100%,6 patients,AL_AMI-2
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,JEFFERSON,2059757100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),,0 patients,AL_AMI-3
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35150,JEFFERSON,2059757100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,,0 patients,AL_AMI-4
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM-*,AL,35205,JEFFERSON,2059757100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),78%,51 patients,AL_PN-6
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,JEFFERSON,2059757100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,76%,37 patients,AL_PN-7
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,JEFFERSON,2562495000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,97%,34 patients,AL_SCIP-CARD-2
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,JEFFERSON,2562495000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),96%,152 patients,AL_SCIP-INF-3
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,JEFFERSON,2059757100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,AL_SCIP-INF-4
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,JEFFERSON,2059757100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,95%,100 patients,AL_SCIP-VTE-2
10168,SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,,,PHENIX CITY,AL,36867,RUSSELL,3347323456,Acute Care Hospitals,Government - State,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),72%,40 patients,AL_PN-6
10168,SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,,,PHENIX CITY,AL,36867,RUSSELL,3347323456,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),96%,150 patients,AL_SCIP-INF-3
10168,SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,,,PHENIX CITY,AL,36867,RUSSELL,3347323456,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,AL_SCIP-INF-4
