38459.city,MIRAMAR BEACH,ST FRANCIS
42005.address1,4500 MEMORIAL DRIVE,101 HOSPITAL DRIVE
35148.condition,Heart Failure,Heart Attack
13803.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
28079.address1,2215 TRUXTUN AVENUE,611 WEST PARK STREET
12074.condition,Pneumonia,Heart Attack
31822.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
48285.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
36403.address1,800 ZORN AVENUE,407 S WHITE ST
20245.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
30377.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
18236.condition,Heart Failure,Surgical Infection Prevention
47498.stateavg,LA_AMI-8A,MA_AMI-3
43545.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),Heart Failure Patients Given Smoking Cessation Advice/Counseling
12846.condition,Pneumonia,Surgical Infection Prevention
15139.address1,524 DR MICHAEL DEBAKEY STREET,1375 UNIVERSITY STREET
18661.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
3558.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
4643.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
16650.city,WALNUT CREEK,BURLINGTON
47806.condition,Heart Attack,Heart Failure
46095.condition,Pneumonia,Heart Failure
15880.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
30860.stateavg,FL_SCIP-VTE-2,IL_AMI-8A
18426.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
41643.address1,1010 THREE SPRINGS BLVD,4604 US HIGHWAY 60 WEST
28057.condition,Heart Failure,Heart Attack
40724.city,JUPITER,LEXINGTON
10217.condition,Heart Failure,Pneumonia
21061.address1,311 SOUTH CLARK STREET,2020 59TH ST W
9821.condition,Heart Attack,Surgical Infection Prevention
41341.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
44893.measurename,Heart Failure Patients Given Smoking Cessation Advice/Counseling,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
22044.condition,Heart Attack,Surgical Infection Prevention
26976.stateavg,AZ_SCIP-INF-2,IL_SCIP-INF-6
31484.condition,Heart Attack,Surgical Infection Prevention
18588.city,RIFLE,OCOEE
43655.condition,Pneumonia,Surgical Infection Prevention
27237.stateavg,GA_PN-6,IL_AMI-3
38878.condition,Pneumonia,Heart Attack
11336.stateavg,CT_SCIP-INF-3,CA_AMI-7A
21732.condition,Surgical Infection Prevention,Pneumonia
26800.condition,Heart Failure,Surgical Infection Prevention
