25822.measurename,Pneumonia Patients Given Initial Antibiotic(s)Xwithin 6 HXurs After Arrival,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
3394.measurename,PneuXonia Patients Assessed and Given Influenza VaccinaXion,Pneumonia Patients Assessed and Given Influenza Vaccination
31968.measurename,HeXrt Attack PatXents Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
44561.address1,100X W PINHOOK RD SUIXE 100,1000 W PINHOOK RD SUITE 100
29089.measurename,Heart Xttack Patients GivXn Smoking Cessation Advice/Counseling,Heart Attack Patients Given Smoking Cessation Advice/Counseling
10253.stateavg,XA_XMI-1,CA_AMI-1
27325.condition,PXeumonXa,Pneumonia
36470.city,XNAXA,ONAWA
16861.address1,401 KXXDALL DRIVE,401 KENDALL DRIVE
42829.address1,1305 CROWLXY RAYNE HIXHWAY,1305 CROWLEY RAYNE HIGHWAY
15497.condition,Xeart AttacX,Heart Attack
3424.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control Xn the days Xight after surgery,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
35695.address1,610 XENTH STRXET,610 TENTH STREET
45440.condition,HeaXt AtXack,Heart Attack
18792.condition,SXrgical InfectiXn Prevention,Surgical Infection Prevention
4737.hospitaltype,CriticaX AcceXs Hospitals,Critical Access Hospitals
2104.address1,2X10XBROOKWOOD MEDICAL CENTER DRIVE,2010 BROOKWOOD MEDICAL CENTER DRIVE
44132.condition,XnXumonia,Pneumonia
22483.condition,HeaXtXAttack,Heart Attack
32158.city,BLXOMINGXON,BLOOMINGTON
45042.hospitaltype,CriXical Access HospitaXs,Critical Access Hospitals
16521.city,BRUXX,BRUSH
37090.stateavg,XS_XMI-4,KS_AMI-4
13077.condition,SuXgical Infection PreventiXn,Surgical Infection Prevention
46929.hospitaltype,AcXte CaXe Hospitals,Acute Care Hospitals
23336.measurename,patients who got treatment  at the right time (within X4 hours before or after their surgery) to help prevent blood clots after certain types ofXsurgery,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
27044.condition,PnXuXonia,Pneumonia
38653.hospitaltype,Critical Access HosXiXals,Critical Access Hospitals
1369.condition,HeaXt FaiXure,Heart Failure
15518.address1,1008 MINNEQUAXXVE,1008 MINNEQUA AVE
36411.city,EXMETSBXRG,EMMETSBURG
